"Sub Category","Price","Discount","Rating","Title"
"Beverages & Water","$27.99 ","No Discount","","Vita Coco, Coconut Water, Original, 16.9 fl oz, 12-Count"
"Beverages & Water","$23.99 ","No Discount","","San Pellegrino Italian Sparkling Drink, Aranciata Rossa, 11.15 fl oz, 24-count"
"Beverages & Water","$34.99 ","No Discount","Rated 4.7 out of 5 stars based on 2340 reviews.","Vonbee Honey Citron & Ginger Tea 4.4 lb 2-pack"
"Beverages & Water","$15.99 ","No Discount","","Honest Kids, Organic Juice Drink, Variety Pack, 6 fl oz, 40-Count"
"Beverages & Water","$12.99 ","No Discount","","Lipton Original Tea Bags, 312-count"
"Beverages & Water","$23.99 ","No Discount","","San Pellegrino Italian Sparkling Drink, Melograno & Arancia, 11.15 fl oz, 24-count"
"Beverages & Water","$39.99 ","After $5 OFF","","5-hour Energy Shot, Regular Strength, Grape, 1.93 fl. oz, 24 Count"
"Beverages & Water","$16.49 ","No Discount","","Pepsi Mini, 7.5 fl oz, 30-count"
"Beverages & Water","$549.99 ","No Discount","Rated 3.6 out of 5 stars based on 15 reviews.","100% Spring Water, 2.5 Gallon, 2-count, 48 Case Pallet"
"Beverages & Water","$17.49 ","After $4.50 OFF","","Stash Tea, Variety Pack, 180-count"
"Beverages & Water","$25.99 ","No Discount","","C2O Coconut Water Hydration Pack, The Original, 17.5 fl oz, 15-count"
"Beverages & Water","$11.69 ","No Discount","","Oregon Chai, Original Organic Chai Tea Latte Concentrate, 32 fl. oz., 3-Count"
"Beverages & Water","$59.99 ","No Discount","Rated 4.8 out of 5 stars based on 312 reviews.","Tiesta Tea Blueberry Wild Child, 2 - 1 Pound Bags & 5.5oz Tin"
"Beverages & Water","$69.99 ","No Discount","Rated 4 out of 5 stars based on 777 reviews.","Pressed Cold-Pressed Juice & Shot Bundle -18 Bottles, 9 Juices & 9 Shots"
"Beverages & Water","$21.99 ","No Discount","","Ito En Jasmine Green Tea, Unsweetened, 16.9 fl oz, 12-count"
"Beverages & Water","$19.99 ","No Discount","","Pure Leaf Tea, Sweet Tea, 16.9 fl oz, 18-count"
"Beverages & Water","$21.79 ","No Discount","","Ito En Oi Ocha Unsweetened Green Tea, 16.9 fl oz, 12-count"
"Beverages & Water","$99.99 ","No Discount","Rated 4.1 out of 5 stars based on 753 reviews.","Pressed 3-Day Cleanse Bundle (18 Juices & 6 Shots)"
"Beverages & Water","$17.99 ","No Discount","","Kirkland Signature, Organic Soy Beverage, Vanilla, 32 fl oz, 12-Count"
"Beverages & Water","$29.99 ","No Discount","","Martinelli's, Gold Medal 100% Pure Apple Juice, 10 fl oz, 24-Count"
"Beverages & Water","$18.99 ","No Discount","","Gatorade Zero Thirst Quencher, Variety Pack, 12 fl oz, 28-count"
"Beverages & Water","$37.99 ","No Discount","","Celsius Sparkling Energy Drink, Orange, 12 fl oz, 24-count"
"Beverages & Water","$19.99 ","No Discount","","IZZE, Sparkling Juice Beverage, Variety Pack, 8.4 fl oz, 24-Count"
"Beverages & Water","$139.99 ","No Discount","Rated 3.8 out of 5 stars based on 49 reviews.","Pressed 5-day Cleanse Bundle - 40 bottles, 30 Juices, and 10 Shots"
"Beverages & Water","$18.99 ","No Discount","","Welch's, Juice Drink, Variety Pack, 10 fl oz, 24-Count"
"Beverages & Water","$37.99 ","No Discount","","Celsius Sparkling Energy Drink, Wild Berry, 12 fl oz, 24-count"
"Beverages & Water","$159.99 ","No Discount","Rated 4.3 out of 5 stars based on 210 reviews.","Pulp and Press 5-Day Organic Cold Pressed Juice Cleanse"
"Beverages & Water","$19.99 ","No Discount","","Pure Leaf Tea, Unsweetened, 16.9 fl oz, 18-count"
"Beverages & Water","$13.79 ","No Discount","","LaCroix Sparkling Water, Berry, 12 fl oz, 24-count"
"Beverages & Water","$13.79 ","No Discount","","LaCroix Sparkling Water, Lemon, 12 fl oz, 24-count"
"Beverages & Water","$23.99 ","No Discount","","Bigelow Herbal Tea, Variety Pack, 168 bags"
"Beverages & Water","$17.99 ","No Discount","","Kirkland Signature, Organic Soy Beverage, Plain, 32 fl oz, 12-Count"
"Beverages & Water","$9.99 ","No Discount","","Swiss Miss, Hot Cocoa Mix, 1.38 oz, 50-Count"
"Beverages & Water","$21.99 ","No Discount","","Ito En Golden Oolong Tea, Unsweetened, 16.9 oz, 12-count"
"Beverages & Water","$14.99 ","No Discount","","Ocean Spray, Cranberry Juice Cocktail, 15.2 fl oz, 12-Count"
"Beverages & Water","$41.99 ","No Discount","","Red Bull Energy Drink, Dragon Fruit, 8.4 fl oz, 24-count"
"Beverages & Water","$15.99 ","No Discount","","Dole, 100% Pineapple Juice, 6 fl oz, 24-Count"
"Beverages & Water","$99.99 ","No Discount","Rated 5 out of 5 stars based on 6 reviews.","Pulp & Press Organic Cold-Pressed Juice Variety Pack, 18-pack"
"Beverages & Water","$18.49 ","No Discount","","Ocean Spray, Cranberry Juice Blends Variety Pack, 15.2 fl oz, 15-Count"
"Beverages & Water","$17.99 ","No Discount","","Dole, Pineapple Juice, 8.4 fl oz, 24-Count"
"Beverages & Water","$15.99 ","No Discount","","Mott's, 100% Apple Juice, 8 fl oz, 24-Count"
"Beverages & Water","$18.99 ","No Discount","","Gatorade Thirst Quencher, Core Variety Pack, 12 fl oz, 28-count"
"Beverages & Water","$69.99 ","No Discount","Rated 4.9 out of 5 stars based on 62 reviews.","Tiesta Tea Loose Leaf Tea Variety 3-Pack (16 oz each)"
"Beverages & Water","$19.99 ","No Discount","","V8, Original Vegetable Juice, 11.5 fl oz, 28-Count"
"Beverages & Water","$37.99 ","No Discount","","Celsius Sparkling Energy Drink, Kiwi Guava, 12 fl oz, 24-count"
"Beverages & Water","$12.99 ","No Discount","","Welch’s, 100% Grape Juice Blend, Concord Grape, 96 fl oz, 2-Count"
"Beverages & Water","$12.99 ","No Discount","","Thaiwala, Thai Tea Black Tea Concentrate, Original, 32 fl oz, 3-Count"
"Beverages & Water","$28.99 ","No Discount","","Dunkin' Iced Coffee, Original, 13.7 fl oz, 12-count"
"Beverages & Water","$74.99 ","No Discount","Rated 4.3 out of 5 stars based on 354 reviews.","Pressed Cold-Pressed Greens, Roots & Citrus Bundle  (12 oz) 15-count"
"Beverages & Water","$23.99 ","No Discount","","Big Train, Vanilla Chai Tea Drink Mix, 3.5 lbs"
"Beverages & Water","$18.99 ","No Discount","","ZOA Zero Sugar Energy Drink, Variety Pack, 12 fl oz, 12-count"
"Beverages & Water","$16.99 ","No Discount","","Ocean Spray, Cranberry Juice, Variety Pack, 10 fl oz, 24-Count"
"Beverages & Water","$41.99 ","No Discount","","Red Bull Energy Drink, Strawberry Apricot, 8.4 fl oz, 24-count"
"Beverages & Water","$18.99 ","No Discount","","Sprite Mini, 7.5 fl oz, 30-count"
"Beverages & Water","$15.99 ","No Discount","","Capri Sun, 100% Juice, Variety Pack, 6 fl oz, 40-Count"
"Beverages & Water","$36.99 ","No Discount","","Monster Energy Drink, Zero Ultra, 24 fl oz, 12-count"
"Beverages & Water","$54.99 ","No Discount","Rated 4.7 out of 5 stars based on 6 reviews.","Joyburst Hydration Drink, Variety Pack, 12 fl oz, 24-count "
"Beverages & Water","$28.99 ","No Discount","","CheongKwanJang Hong Sam Won Red Ginseng Drink, 1.69 fl oz, 30-Count"
"Beverages & Water","$36.99 ","No Discount","","Monster Energy Drink, 24 fl oz, 12-count"
"Beverages & Water","$23.49 ","No Discount","","C4 Energy Drink, Strawberry Starburst, 16 fl oz, 12-count"
"Beverages & Water","$20.99 ","No Discount","","Gatorade Thirst Quencher, Variety Pack, 24 fl oz, 12-count"
"Beverages & Water","$99.99 ","No Discount","Rated 4 out of 5 stars based on 35 reviews.","Pressed 3-day Beginner Cleanse Bundle  - 24 bottles, 18 Juice and  6 Shots"
"Beverages & Water","$14.99 ","No Discount","","V8 Splash, Variety Pack, 16 fl oz, 12-Count"
"Beverages & Water","$39.99 ","No Discount","","Red Bull Energy Drink, Sugar Free, 8.4 fl oz, 24-count"
"Beverages & Water","$10.99 ","No Discount","","Clamato, Tomato Cocktail, Original, 64 fl oz, 2-Count"
"Beverages & Water","$23.99 ","No Discount","","Big Train Vanilla Latte Mix, 3.5 lb  "
"Beverages & Water","$23.99 ","No Discount","","Big Train, Spiced Chai Tea Latte Drink Mix, 3.5 lbs"
"Beverages & Water","$41.99 ","No Discount","","Red Bull Energy Drink, Blueberry, 8.4 fl oz, 24-count"
"Beverages & Water","$61.99 ","No Discount","","Red Bull Energy Drink, Sugar Free, 12 fl oz, 24-count"
"Beverages & Water","$10.99 ","No Discount","","Country Time, Drink Mix, Lemonade, 82.5 oz"
"Beverages & Water","$39.99 ","No Discount","","Red Bull Energy Drink, 16 fl oz, 12-count"
"Beverages & Water","$22.99 ","No Discount","","Body Armor Lyte Sports Drink, Variety Pack, 16 fl oz, 20-count"
"Beverages & Water","$61.99 ","No Discount","","Red Bull Energy Drink, 12 fl oz, 24-count"
"Beverages & Water","$24.99 ","No Discount","Rated 4 out of 5 stars based on 3 reviews.","Ready Sports Drink Light, Mango Lemonade, 16.9 fl oz, 12-count"
"Beverages & Water","$39.99 ","No Discount","Rated 4.8 out of 5 stars based on 1251 reviews.","Cherry Bay Orchards Tart Cherry Concentrate 32 fl. oz., 2-pack"
"Beverages & Water","$9.99 ","No Discount","","Kirkland Signature, Organic Cranberry Juice Cocktail, 96 fl oz, 2-Count"
"Beverages & Water","$15.99 ","No Discount","","Jumex Nectar, Strawberry-Banana, 16 fl oz, 12-Count"
"Beverages & Water","$22.99 ","No Discount","","C4 Energy Drink, Original Skittles, 16 fl oz, 12-count"
"Beverages & Water","$9.99 ","No Discount","","Tang, Drink Mix, Orange, 72 oz"
"Beverages & Water","$89.99 ","No Discount","Rated 4.2 out of 5 stars based on 90 reviews.","Pressed 36-count (2 oz) Wellness Shots "
"Beverages & Water","$17.99 ","No Discount","","Kirkland Signature, Organic 100% Juice, Variety Pack, 6.75 fl oz, 40-Count"
"Beverages & Water","$49.99 ","No Discount","","5-hour Energy Shot, Extra Strength, Grape, 1.93 fl. oz, 24-count"
"Beverages & Water","$41.99 ","No Discount","","Red Bull Energy Drink, Sugar Free, 16 oz, 12-count"
"Beverages & Water","$41.99 ","No Discount","","Red Bull Energy Drink, Watermelon, 8.4 fl oz, 24-count"
"Beverages & Water","$39.99 ","After $5 OFF","","5-hour Energy Shot, Regular Strength, Berry, 1.93 fl. oz, 24 Count"
"Beverages & Water","$17.99 ","No Discount","","Kern's, Nectar Variety Pack, 11.5 fl oz, 30-Count"
"Beverages & Water","$20.99 ","No Discount","","ZOA Zero Sugar Energy Drink, Variety Pack, 12 fl oz, 15-count"
"Beverages & Water","$41.99 ","No Discount","","Red Bull Energy Drink, Peach-Nectarine, 8.4 fl oz, 24-count"
"Beverages & Water","$41.99 ","No Discount","","Red Bull Energy Drink, Tropical, 8.4 fl oz, 24-count"
"Beverages & Water","$21.99 ","No Discount","","Tree Top, 100% Apple Juice, 10 fl oz, 24-Count"
"Beverages & Water","$22.99 ","No Discount","","Body Armor Sports Drink, Variety Pack, 16 fl oz, 20-count"
"Beverages & Water","$49.99 ","No Discount","","5-hour Energy Shot, Extra Strength, Berry, 1.93 fl. oz, 24-count"
"Beverages & Water","$23.99 ","No Discount","","Bai Antioxidant Infusion, Variety Pack, 18 fl oz, 15-count"
"Beverages & Water","$9.99 ","No Discount","","Nestle, Nesquik Chocolate Drink Mix, 2.81 lbs"
"Beverages & Water","$17.59 ","No Discount","","Sunny D, Tangy Original, 11.3 fl oz, 30-Count"
"Beverages & Water","$49.99 ","No Discount","","5-hour Energy Shot, Extra Strength, Blue Raspberry, 1.93 fl oz, 24-count"
"Beverages & Water","$49.99 ","No Discount","","5-hour Energy Shot, Extra Strength, Tropical Burst, 1.93 fl. oz, 24-count"
"Beverages & Water","$23.99 ","No Discount","","Bai Antioxidant Cocofusion, Variety Pack, 18 fl oz 15-count"
"Beverages & Water","$11.99 ","No Discount","","Tree Top, 100% Apple Juice, 1 Gallon, 2-Count"
"Beverages & Water","$24.49 ","No Discount","Rated 3.7 out of 5 stars based on 21 reviews.","Joyburst Energy Drink, Frose Rose, 12 fl oz, 12-count"
"Breakfast","$10.49 ","After $4 OFF","","MadeGood Granola Minis, Variety Pack, 0.85 oz, 24-count"
"Breakfast","$9.69 ","No Discount","","Post, Honey Bunches of Oats with Almonds Cereal, 50 oz"
"Breakfast","$8.19 ","After $2.80 OFF","","General Mills, Cheerios Cereal, Honey Nut, 27.5 oz, 2-Count"
"Breakfast","$9.99 ","No Discount","","Kirkland Signature Whole Grain Rolled Oats, 10 LBS"
"Breakfast","$28.99 ","After $8 OFF","Rated 4.8 out of 5 stars based on 1275 reviews.","NuTrail Keto Nut Granola Blueberry Cinnamon 2-Pack (22 oz each)"
"Breakfast","$36.99 ","No Discount","Rated 4.7 out of 5 stars based on 149 reviews.","NuTrail Keto Nut Granola Honey Nut 2-pack (22 oz. each)"
"Breakfast","$14.99 ","No Discount","","Quaker, Oats Old Fashioned Oatmeal, 10 lbs"
"Breakfast","$9.99 ","No Discount","","Cinnamon, Toast Crunch Cereal, 49.5 oz"
"Breakfast","$10.49 ","No Discount","","Kirkland Signature Organic Ancient Grain Granola, 35.3 oz"
"Breakfast","$12.99 ","No Discount","","Quaker Instant Oatmeal Cups, Variety Pack, 19.8 oz., 12-Count"
"Breakfast","$9.49 ","No Discount","","Idaho Spuds, Golden Grill Hashbrown Potatoes, 33.1 oz"
"Breakfast","$12.49 ","No Discount","","Kellogg's, Special K Red Berries Cereal, 43 oz"
"Breakfast","$10.99 ","No Discount","","General Mills Cereal Cup, Variety Pack, 12-count"
"Breakfast","$9.99 ","No Discount","","Krusteaz, Complete Buttermilk Pancake Mix, 10 lbs"
"Breakfast","$11.99 ","After $4 OFF","","Quaker, Instant Oatmeal, Variety Pack, 1.51 oz, 52-Count"
"Breakfast","$9.99 ","No Discount","","General Mills, Cheerios Cereal, 20.35 oz, 2-Count"
"Breakfast","$11.99 ","No Discount","","Kellogg's Cereal Mini Boxes, Variety Pack, 25-count"
"Breakfast","$10.99 ","No Discount","","Kellogg's Frosted Flakes Cereal, 30.95 oz, 2-count"
"Breakfast","$10.99 ","No Discount","","Bisquick, Pancake & Baking Mix, 96 oz"
"Breakfast","$12.69 ","No Discount","","Kellogg's Cereal Cups, Family Variety Pack, 12-count"
"Breakfast","$14.99 ","No Discount","","Bob's Red Mill Organic Quick Cooking Steel Cut Oats, 7 lbs."
"Candy","$16.99 ","No Discount","","Kirkland Signature Almonds, Milk Chocolate, 3 lb"
"Candy","$15.99 ","No Discount","","Kirkland Signature Raisins, Milk Chocolate, 3.4 lb"
"Candy","$16.99 ","No Discount","","Kinder Joy Egg, .7 oz, 12-count"
"Candy","$22.99 ","No Discount","","Kirkland Signature All Chocolate Bag, 90 oz,"
"Candy","$10.99 ","After $4 OFF","","Mott's Fruit Snacks, Assorted Fruit, 0.8 oz, 90-count"
"Candy","$11.99 ","No Discount","","Kinder Chocolate Mini, Milk Chocolate Candy Bar, 21.2 Oz Bulk"
"Candy","$15.99 ","No Discount","","Reese's Pieces, Peanut Butter, 48 oz"
"Candy","$34.99 ","No Discount","","Hershey's Milk Chocolate with Almonds, King Size, 18-count"
"Candy","$29.99 ","No Discount","Rated 4.8 out of 5 stars based on 227 reviews.","Utah Truffles Dark Chocolate Truffles With Sea Salt 16 oz, 2-pack"
"Candy","$11.99 ","After $4 OFF","","Kellogg's Rice Krispies Treats, 0.78 oz, 60-count"
"Candy","$14.99 ","No Discount","","E.Frutti Gummi Pizza, 48-Count"
"Candy","$24.99 ","No Discount","","Mars Minis Chocolate Favorites, Variety Pack, 240-count"
"Candy","$39.99 ","No Discount","","Hershey's Milk Chocolate With Almonds, 1.45 oz, 36-count"
"Candy","$29.99 ","No Discount","Rated 4.9 out of 5 stars based on 761 reviews.","Utah Truffle Milk Chocolate Mint Truffles 16 oz, 2-pack"
"Candy","$15.99 ","No Discount","","Lindt Lindor Chocolate Truffles, Assorted Flavors, 21.2 oz"
"Candy","$11.99 ","No Discount","","Charms Mini Pops, Assorted Flavors, 400-count"
"Candy","$44.99 ","No Discount","No Reviews","Chocolate Moonshine Co. Belgian Artisan Chocolate Caramel Biscuit Bark, 20 oz."
"Candy","$31.99 ","No Discount","","M&M's, Snickers and More Chocolate Candy Bars, Variety Pack, 30-count"
